date,weights,reps
2020-10-26,95.0,3.0
2020-10-26,135.0,3.0
2020-10-26,185.0,3.0
2020-10-26,235.0,3.0
2020-10-26,255.0,3.0
2020-10-26,275.0,3.0
2020-10-26,275.0,3.0
2020-10-26,275.0,3.0
2020-10-19,135.0,6.0
2020-10-19,185.0,6.0
2020-10-19,225.0,6.0
2020-10-19,245.0,6.0
2020-10-19,245.0,6.0
2020-10-19,245.0,6.0
2020-10-19,245.0,6.0
2020-10-12,95.0,8.0
2020-10-12,145.0,8.0
2020-10-12,195.0,8.0
2020-10-12,225.0,8.0
2020-10-12,225.0,8.0
2020-10-12,225.0,8.0
2020-10-12,225.0,8.0
2020-10-12,225.0,8.0
2020-10-05,95.0,0.0
2020-10-05,115.0,0.0
2020-10-05,135.0,0.0
2020-10-05,165.0,0.0
2020-10-05,185.0,0.0
2020-10-01,135.0,5.0
2020-10-01,185.0,5.0
2020-10-01,225.0,5.0
2020-10-01,225.0,5.0
2020-10-01,225.0,5.0
2020-10-01,235.0,5.0
2020-10-01,245.0,5.0
2020-09-24,95.0,6.0
2020-09-24,95.0,6.0
2020-09-24,135.0,6.0
2020-09-24,135.0,6.0
2020-09-24,185.0,4.0
2020-09-24,185.0,4.0
2020-09-24,185.0,4.0
2020-09-24,225.0,2.0
2020-09-24,245.0,2.0
2020-09-16,95.0,4.0
2020-09-16,135.0,4.0
2020-09-16,185.0,4.0
2020-09-16,225.0,4.0
2020-09-16,240.0,4.0
2020-09-16,255.0,4.0
2020-09-09,115.0,6.0
2020-09-09,155.0,6.0
2020-09-09,185.0,6.0
2020-09-09,225.0,6.0
2020-09-09,225.0,6.0
2020-09-09,245.0,6.0
2020-08-13,95.0,12.0
2020-08-13,135.0,8.0
2020-08-13,235.0,5.0
2020-08-13,245.0,5.0
2020-08-13,250.0,5.0
2020-07-04,95.0,5.0
2020-07-04,135.0,5.0
2020-07-04,185.0,5.0
2020-07-04,235.0,5.0
2020-07-04,235.0,5.0
2020-07-04,235.0,5.0
2020-07-04,235.0,5.0
2020-07-04,235.0,5.0
2020-06-28,95.0,5.0
2020-06-28,135.0,4.0
2020-06-28,185.0,3.0
2020-06-28,225.0,2.0
2020-06-28,255.0,1.0
2020-06-28,275.0,1.0
2020-06-28,295.0,1.0
2020-06-28,295.0,1.0
2020-06-28,295.0,1.0
2020-06-09,45.0,5.0
2020-06-09,95.0,5.0
2020-06-09,135.0,5.0
2020-06-09,185.0,5.0
2020-06-09,225.0,3.0
2020-06-09,245.0,1.0
2020-06-09,275.0,1.0
2020-06-09,285.0,1.0
2020-04-05,45.0,8.0
2020-04-05,95.0,8.0
2020-04-05,115.0,7.0
2020-04-05,135.0,6.0
2020-04-05,155.0,5.0
2020-04-05,185.0,4.0
2020-04-05,225.0,3.0
2020-04-05,235.0,2.0
2020-04-05,245.0,1.0
2020-04-05,255.0,1.0
2020-04-05,265.0,1.0
2020-04-05,275.0,1.0
2020-03-15,95.0,8.0
2020-03-15,135.0,7.0
2020-03-15,185.0,6.0
2020-03-15,225.0,5.0
2020-03-15,225.0,5.0
2020-03-15,225.0,5.0
2020-03-15,225.0,5.0
2020-03-15,230.0,5.0
2020-02-29,45.0,8.0
2020-02-29,95.0,6.0
2020-02-29,135.0,5.0
2020-02-29,185.0,3.0
2020-02-29,185.0,3.0
2020-02-29,225.0,3.0
2020-02-29,235.0,3.0
2020-02-29,240.0,2.0
2020-02-29,245.0,1.0
2020-02-29,250.0,1.0
2020-02-29,255.0,1.0
2020-02-24,95.0,12.0
2020-02-24,115.0,8.0
2020-02-24,185.0,5.0
2020-02-24,205.0,5.0
2020-02-24,225.0,5.0
2020-02-15,95.0,5.0
2020-02-15,185.0,5.0
2020-02-15,215.0,5.0
2020-02-15,215.0,5.0
2020-02-15,215.0,5.0
2020-02-15,215.0,5.0
2020-02-15,220.0,5.0
2020-02-05,135.0,5.0
2020-02-05,185.0,3.0
2020-02-05,225.0,2.0
2020-01-16,185.0,5.0
2020-01-16,185.0,5.0
2020-01-16,205.0,5.0
2020-01-16,205.0,5.0
2020-01-16,205.0,5.0
2020-01-08,45.0,8.0
2020-01-08,95.0,8.0
2020-01-08,135.0,5.0
2020-01-08,185.0,5.0
2020-01-08,215.0,5.0
2020-01-08,215.0,5.0
2020-01-08,215.0,5.0
2020-01-08,215.0,5.0
2020-01-08,215.0,5.0
2020-01-03,95.0,5.0
2020-01-03,135.0,5.0
2020-01-03,210.0,5.0
2020-01-03,210.0,8.0
2020-01-03,210.0,8.0
2020-01-01,45.0,8.0
2020-01-01,115.0,8.0
2020-01-01,185.0,5.0
2020-01-01,205.0,5.0
2020-01-01,205.0,5.0
2020-01-01,205.0,5.0
2020-01-01,205.0,5.0
2020-01-01,205.0,5.0
2019-12-29,105.0,8.0
2019-12-29,145.0,5.0
2019-12-29,195.0,3.0
2019-12-29,205.0,3.0
2019-12-29,215.0,3.0
2019-12-29,225.0,3.0
2019-11-22,95.0,8.0
2019-11-22,135.0,5.0
2019-11-22,185.0,3.0
2019-11-22,195.0,3.0
2019-11-22,205.0,3.0
2019-11-01,205.0,1.0
2019-10-24,95.0,3.0
2019-10-24,115.0,3.0
2019-10-24,135.0,3.0
2019-10-24,155.0,3.0
2019-10-24,155.0,3.0
2019-10-24,155.0,3.0
2019-10-01,135.0,5.0
2019-10-01,185.0,4.0
2019-10-01,205.0,2.0
2019-10-01,205.0,1.0
