date,weights,reps
2020-10-28,95.0,3.0
2020-10-28,135.0,3.0
2020-10-28,155.0,3.0
2020-10-28,175.0,3.0
2020-10-28,195.0,3.0
2020-10-28,200.0,3.0
2020-10-28,205.0,3.0
2020-10-28,210.0,3.0
2020-10-21,95.0,6.0
2020-10-21,135.0,6.0
2020-10-21,165.0,6.0
2020-10-21,185.0,6.0
2020-10-21,185.0,6.0
2020-10-21,185.0,6.0
2020-10-21,185.0,6.0
2020-10-14,95.0,8.0
2020-10-14,115.0,8.0
2020-10-14,135.0,8.0
2020-10-14,155.0,8.0
2020-10-14,155.0,8.0
2020-10-14,155.0,8.0
2020-10-14,155.0,8.0
2020-10-14,155.0,8.0
2020-07-31,45.0,8.0
2020-07-31,95.0,5.0
2020-07-31,135.0,5.0
2020-07-31,185.0,3.0
2020-07-31,205.0,2.0
2020-07-31,225.0,1.0
2020-07-31,230.0,1.0
2020-06-17,95.0,3.0
2020-06-17,135.0,3.0
2020-06-17,155.0,3.0
2020-06-17,195.0,3.0
2020-06-17,195.0,3.0
2020-06-17,195.0,3.0
2020-05-18,45.0,8.0
2020-05-18,95.0,5.0
2020-05-18,135.0,3.0
2020-05-18,185.0,1.0
2020-05-18,205.0,1.0
2020-05-18,225.0,1.0
2020-04-30,45.0,8.0
2020-04-30,95.0,7.0
2020-04-30,135.0,6.0
2020-04-30,185.0,5.0
2020-04-30,185.0,5.0
2020-04-30,185.0,5.0
2020-04-30,185.0,5.0
2020-04-30,185.0,4.0
2020-04-05,95.0,6.0
2020-04-05,115.0,5.0
2020-04-05,135.0,4.0
2020-04-05,155.0,3.0
2020-04-05,165.0,2.0
2020-04-05,175.0,1.0
2020-04-05,185.0,1.0
2020-04-05,190.0,1.0
2020-04-05,195.0,1.0
2020-04-05,200.0,1.0
2020-02-18,75.0,6.0
2020-02-18,125.0,6.0
2020-02-18,150.0,6.0
2020-02-18,150.0,6.0
2020-02-05,65.0,7.0
2020-02-05,85.0,5.0
2020-02-05,135.0,3.0
2020-02-05,155.0,2.0
2020-02-05,185.0,1.0
2020-01-17,95.0,5.0
2020-01-17,135.0,5.0
2020-01-17,155.0,5.0
2020-01-17,175.0,5.0
2020-01-17,175.0,3.0
2019-12-02,65.0,6.0
2019-12-02,95.0,5.0
2019-12-02,155.0,3.0
2019-12-02,165.0,3.0
2019-12-02,175.0,5.0
2019-11-15,65.0,5.0
2019-11-15,105.0,5.0
2019-11-15,135.0,5.0
2019-11-15,155.0,8.0
2019-11-01,185.0,1.0
2019-10-23,85.0,9.0
2019-10-23,115.0,6.0
2019-10-23,135.0,3.0
2019-10-23,135.0,3.0
2019-10-23,145.0,3.0
2019-09-26,115.0,5.0
2019-09-26,135.0,3.0
2019-09-26,135.0,2.0
2019-09-26,175.0,1.0
2019-09-26,115.0,5.0
