date,weights,reps
2020-10-30,135.0,3.0
2020-10-30,185.0,3.0
2020-10-30,235.0,3.0
2020-10-30,275.0,3.0
2020-10-30,295.0,3.0
2020-10-30,315.0,3.0
2020-10-30,315.0,3.0
2020-10-30,315.0,3.0
2020-10-23,135.0,6.0
2020-10-23,185.0,6.0
2020-10-23,235.0,6.0
2020-10-23,265.0,6.0
2020-10-23,265.0,6.0
2020-10-23,265.0,6.0
2020-10-23,265.0,6.0
2020-10-16,45.0,8.0
2020-10-16,115.0,8.0
2020-10-16,135.0,8.0
2020-10-16,185.0,8.0
2020-10-16,215.0,8.0
2020-10-16,235.0,8.0
2020-10-16,235.0,8.0
2020-10-16,235.0,8.0
2020-10-16,235.0,8.0
2020-10-16,235.0,8.0
2020-10-07,95.0,0.0
2020-10-07,135.0,0.0
2020-10-07,185.0,0.0
2020-10-07,225.0,0.0
2020-09-29,275.0,5.0
2020-09-29,275.0,5.0
2020-09-29,275.0,5.0
2020-09-29,275.0,5.0
2020-09-21,135.0,6.0
2020-09-21,135.0,6.0
2020-09-21,165.0,6.0
2020-09-21,165.0,6.0
2020-09-21,205.0,4.0
2020-09-21,205.0,4.0
2020-09-21,205.0,4.0
2020-09-21,235.0,2.0
2020-09-21,250.0,2.0
2020-09-18,95.0,4.0
2020-09-18,135.0,4.0
2020-09-18,205.0,4.0
2020-09-18,255.0,4.0
2020-09-18,275.0,4.0
2020-09-18,305.0,4.0
2020-09-10,95.0,6.0
2020-09-10,135.0,6.0
2020-09-10,185.0,6.0
2020-09-10,225.0,6.0
2020-09-10,305.0,6.0
2020-08-26,95.0,0.0
2020-08-26,135.0,0.0
2020-08-26,225.0,0.0
2020-08-26,235.0,0.0
2020-08-26,255.0,0.0
2020-08-24,135.0,5.0
2020-08-24,225.0,5.0
2020-08-24,275.0,3.0
2020-08-24,295.0,1.0
2020-08-24,345.0,1.0
2020-08-24,365.0,1.0
2020-07-31,135.0,5.0
2020-07-31,225.0,5.0
2020-07-31,275.0,3.0
2020-07-31,295.0,2.0
2020-07-31,315.0,1.0
2020-07-31,330.0,1.0
2020-07-31,330.0,1.0
2020-04-17,95.0,8.0
2020-04-17,115.0,7.0
2020-04-17,135.0,6.0
2020-04-17,185.0,5.0
2020-04-17,225.0,4.0
2020-04-17,245.0,3.0
2020-04-17,275.0,3.0
2020-04-17,295.0,1.0
2020-04-17,305.0,1.0
2020-04-17,315.0,1.0
2020-04-17,325.0,1.0
2020-04-17,330.0,1.0
2020-03-12,115.0,8.0
2020-03-12,155.0,8.0
2020-03-12,235.0,8.0
2020-03-12,275.0,5.0
2020-03-12,275.0,5.0
2020-02-29,135.0,5.0
2020-02-29,225.0,5.0
2020-02-29,265.0,3.0
2020-02-29,275.0,3.0
2020-02-29,295.0,3.0
2020-02-29,300.0,2.0
2020-02-29,320.0,1.0
2020-02-22,135.0,8.0
2020-02-22,225.0,5.0
2020-02-22,260.0,5.0
2020-02-22,260.0,5.0
2020-02-22,260.0,5.0
2020-02-22,260.0,5.0
2020-02-22,260.0,5.0
2020-02-18,135.0,6.0
2020-02-18,225.0,6.0
2020-02-18,255.0,6.0
2020-02-18,255.0,6.0
2020-02-15,135.0,8.0
2020-02-15,225.0,5.0
2020-02-15,260.0,5.0
2020-02-15,260.0,5.0
2020-02-15,260.0,5.0
2020-02-05,135.0,7.0
2020-02-05,185.0,5.0
2020-02-05,225.0,3.0
2020-02-05,275.0,2.0
2020-02-05,315.0,1.0
2020-01-23,135.0,5.0
2020-01-23,225.0,4.0
2020-01-23,245.0,3.0
2020-01-23,275.0,3.0
2020-01-18,45.0,8.0
2020-01-18,95.0,8.0
2020-01-18,185.0,5.0
2020-01-18,225.0,3.0
2020-01-18,245.0,3.0
2020-01-18,275.0,3.0
2020-01-18,275.0,3.0
2020-01-18,275.0,3.0
2019-12-11,115.0,5.0
2019-12-11,115.0,5.0
2019-12-11,115.0,5.0
2019-12-11,115.0,5.0
2019-11-27,95.0,5.0
2019-11-27,155.0,5.0
2019-11-27,255.0,3.0
2019-11-27,255.0,3.0
2019-11-27,255.0,6.0
2019-11-01,265.0,1.0
2019-10-30,135.0,6.0
2019-10-30,175.0,6.0
2019-10-30,225.0,2.0
2019-10-30,225.0,2.0
2019-10-30,245.0,2.0
