date,weights,reps
2020-06-17,45.0,5.0
2020-06-17,95.0,5.0
2020-06-17,135.0,3.0
2020-06-17,185.0,3.0
2020-06-17,205.0,3.0
2020-06-17,205.0,3.0
2020-06-17,205.0,3.0
2020-06-04,45.0,5.0
2020-06-04,95.0,5.0
2020-06-04,135.0,5.0
2020-06-04,185.0,5.0
2020-06-04,185.0,5.0
2020-06-04,185.0,5.0
2020-06-04,195.0,5.0
2020-06-04,205.0,5.0
2020-04-30,45.0,8.0
2020-04-30,95.0,7.0
2020-04-30,115.0,6.0
2020-04-30,135.0,5.0
2020-04-30,155.0,4.0
2020-04-30,185.0,3.0
2020-04-30,205.0,2.0
2020-04-30,215.0,1.0
2020-04-30,225.0,1.0
2020-03-12,75.0,8.0
2020-03-12,105.0,8.0
2020-03-12,155.0,8.0
2020-03-12,185.0,5.0
2020-03-12,195.0,5.0
2020-03-07,45.0,8.0
2020-03-07,95.0,5.0
2020-03-07,135.0,5.0
2020-03-07,165.0,5.0
2020-03-07,185.0,5.0
2020-03-07,185.0,5.0
2020-03-07,185.0,5.0
2020-03-07,185.0,5.0
2020-03-07,185.0,5.0
2020-02-11,75.0,8.0
2020-02-11,105.0,6.0
2020-02-11,155.0,4.0
2020-02-11,165.0,4.0
2020-01-31,75.0,8.0
2020-01-31,105.0,6.0
2020-01-31,165.0,4.0
2020-01-31,195.0,4.0
2020-01-25,155.0,3.0
2020-01-25,175.0,3.0
2020-01-25,185.0,3.0
2020-01-25,185.0,2.0
2020-01-25,185.0,1.0
2020-01-11,45.0,10.0
2020-01-11,95.0,8.0
2020-01-11,95.0,8.0
2020-01-11,115.0,6.0
2020-01-11,185.0,5.0
2020-01-11,185.0,5.0
2020-01-11,185.0,5.0
2020-01-11,185.0,2.0
2020-01-04,95.0,10.0
2020-01-04,115.0,6.0
2020-01-04,155.0,3.0
2020-01-04,185.0,3.0
2020-01-04,185.0,3.0
2020-01-04,185.0,3.0
2020-01-04,205.0,1.0
2019-11-11,85.0,10.0
2019-11-11,105.0,6.0
2019-11-11,135.0,3.0
2019-11-11,165.0,2.0
2019-11-11,185.0,1.0
2019-11-01,155.0,1.0
2019-10-18,85.0,3.0
2019-10-18,115.0,3.0
2019-10-18,135.0,3.0
2019-10-18,135.0,3.0
2019-10-18,135.0,3.0
2019-09-25,85.0,5.0
2019-09-25,95.0,4.0
2019-09-25,155.0,3.0
2019-09-25,155.0,2.0
2019-09-25,175.0,1.0
